0,96
1,112
2,128
3,141
4,143
5,146
6,164
7,190
8,218
9,235
10,240
11,250
12,252
13,253
14,262
15,267
16,277
17,279
18,285
19,313
20,318
21,320
22,324
23,334
24,342
25,348
26,352
27,359
28,385
29,423
30,437
31,452
32,458
33,459
34,470
35,506
36,533
37,536
38,537
39,539
40,551
41,566
42,581
43,589
44,610
45,619
46,623
47,630
48,634
49,636
50,644
51,668
52,673
53,676
54,678
55,689
56,695
57,702
58,713
59,717
60,721
61,742
62,745
63,749
64,750
65,752
66,774
67,794
68,796
69,807
70,811
71,812
72,813
73,827
74,836
75,837
76,842
77,843
78,852
79,858
80,861
81,862
82,874
83,884
84,886
85,892
86,920
87,921
88,926
89,928
90,931
91,938
92,939
93,940
94,942
95,946
96,950
97,962
98,965
99,970
100,979
101,983
102,993
103,1000
104,1002
105,1006
106,1009
107,1012
108,1017
109,1022
110,1028
111,1029
112,1036
113,1040
114,1044
115,1045
116,1046
117,1047
118,1062
119,1065
120,1076
121,1080
122,1081
123,1082
124,1092
125,1098
126,1104
127,1110
128,1118
129,1122
130,1130
131,1134
132,1141
133,1143
134,1152
135,1162
136,1164
137,1165
138,1169
139,1170
140,1173
141,1174
142,1182
143,1183
144,1187
145,1195
146,1197
147,1198
148,1203
149,1209
150,1212
151,1219
152,1220
153,1242
154,1252
155,1264
156,1268
157,1271
158,1281
159,1285
160,1295
161,1297
162,1306
163,1308
164,1326
165,1328
166,1341
167,1345
168,1347
169,1353
170,1355
171,1366
172,1372
173,1375
174,1385
175,1395
176,1400
177,1404
178,1413
179,1428
180,1433
181,1439
182,1442
183,1453
184,1455
185,1462
186,1470
187,1472
188,1474
189,1475
190,1482
191,1490
192,1499
193,1502
194,1505
195,1508
196,1511
197,1512
198,1524
199,1527
200,1538
201,1539
202,1542
203,1543
204,1551
205,1556
206,1562
207,1563
208,1565
209,1568
210,1577
211,1596
212,1609
213,1628
214,1651
215,1654
216,1658
217,1668
218,1671
219,1673
220,1688
221,1699
222,1700
223,1702
224,1708
225,1716
226,1723
227,1728
228,1729
229,1730
230,1736
231,1737
232,1740
233,1743
234,1769
235,1770
236,1773
237,1776
238,1782
239,1786
240,1787
241,1790
242,1794
243,1798
244,1808
245,1810
246,1813
247,1816
248,1822
249,1831
250,1834
251,1837
252,1846
253,1849
254,1866
255,1874
256,1890
257,1893
258,1894
259,1898
260,1899
261,1903
262,1904
263,1905
264,1912
265,1920
266,1935
267,1941
268,1943
269,1947
270,1948
271,1951
272,1952
273,1965
274,1979
275,1981
276,1982
277,1983
278,1988
279,1990
280,1994
281,1997
282,2003
283,2008
284,2018
285,2037
286,2040
287,2042
288,2046
289,2048
290,2057
291,2058
292,2060
293,2061
294,2067
295,2070
296,2071
297,2080
298,2081
299,2088
300,2093
301,2100
302,2106
303,2112
304,2113
305,2116
306,2118
307,2137
308,2139
309,2140
310,2141
311,2146
312,2151
313,2153
314,2160
315,2161
316,2166
317,2167
318,2169
319,2171
320,2173
321,2178
322,2179
323,2185
324,2194
325,2204
326,2205
327,2208
328,2216
329,2218
330,2221
331,2232
332,2234
333,2243
334,2244
335,2246
336,2248
337,2249
338,2254
339,2273
340,2276
341,2281
342,2292
343,2305
344,2307
345,2313
346,2316
347,2330
348,2331
349,2332
350,2333
351,2334
352,2335
353,2345
354,2348
355,2349
356,2350
357,2356
358,2360
359,2364
360,2372
361,2377
362,2390
363,2395
364,2396
365,2401
366,2404
367,2410
368,2422
369,2435
370,2437
371,2443
372,2450
373,2457
374,2483
375,2486
376,2502
377,2509
378,2516
379,2525
380,2527
381,2528
382,2530
383,2532
384,2533
385,2535
386,2538
387,2541
388,2542
389,2551
390,2558
391,2562
392,2570
393,2575
394,2576
395,2580
396,2583
397,2587
398,2590
399,2599
400,2613
401,2617
402,2626
403,2629
404,2634
405,2641
406,2652
407,2653
408,2659
409,2663
410,2664
411,2665
412,2672
413,2676
414,2682
415,2683
416,2690
417,2692
418,2700
419,2712
420,2717
421,2723
422,2726
423,2728
424,2734
425,2739
426,2743
427,2748
428,2752
429,2767
430,2768
431,2769
432,2771
433,2772
434,2774
435,2775
436,2776
437,2777
438,2779
439,2788
440,2791
441,2792
442,2793
443,2795
444,2799
445,2800
446,2801
447,2804
448,2813
449,2814
450,2818
451,2826
452,2829
453,2832
454,2833
455,2838
456,2839
457,2840
458,2847
459,2848
460,2855
461,2866
462,2868
463,2872
464,2876
465,2880
466,2884
467,2886
468,2888
469,2893
470,2895
471,2896
472,2899
473,2904
474,2905
475,2906
476,2908
477,2913
478,2915
479,2916
480,2918
481,2922
482,2941
483,2955
484,2962
485,2966
486,2972
487,2978
488,2983
489,2997
490,2999
