"(1, 1.0000000000000002)","(4, 1.0000000000000002)","(11, 1.0000000000000002)","(12, 1.0000000000000002)","(13, 1.0000000000000002)","(33, 1.0000000000000002)","(35, 1.0000000000000002)","(38, 1.0000000000000002)","(39, 1.0000000000000002)","(42, 1.0000000000000002)","(45, 1.0000000000000002)","(52, 1.0000000000000002)","(53, 1.0000000000000002)","(66, 1.0000000000000002)","(69, 1.0000000000000002)"
"(2, 1.0)","(78, 1.0)","(145, 1.0)","(212, 1.0)","(229, 1.0)","(275, 1.0)","(324, 1.0)","(440, 1.0)","(528, 1.0)","(698, 1.0)","(735, 1.0)","(848, 1.0)","(854, 1.0)","(936, 1.0)","(1010, 1.0)"
"(3, 1.0)","(10, 1.0)","(15, 1.0)","(20, 1.0)","(26, 1.0)","(31, 1.0)","(40, 1.0)","(51, 1.0)","(57, 1.0)","(58, 1.0)","(67, 1.0)","(68, 1.0)","(70, 1.0)","(72, 1.0)","(76, 1.0)"
"(1, 1.0000000000000002)","(4, 1.0000000000000002)","(11, 1.0000000000000002)","(12, 1.0000000000000002)","(13, 1.0000000000000002)","(33, 1.0000000000000002)","(35, 1.0000000000000002)","(38, 1.0000000000000002)","(39, 1.0000000000000002)","(42, 1.0000000000000002)","(45, 1.0000000000000002)","(52, 1.0000000000000002)","(53, 1.0000000000000002)","(66, 1.0000000000000002)","(69, 1.0000000000000002)"
"(5, 1.0)","(16, 1.0)","(19, 1.0)","(23, 1.0)","(24, 1.0)","(28, 1.0)","(29, 1.0)","(32, 1.0)","(37, 1.0)","(41, 1.0)","(54, 1.0)","(82, 1.0)","(84, 1.0)","(85, 1.0)","(93, 1.0)"
"(6, 1.0000000000000002)","(91, 1.0000000000000002)","(160, 1.0000000000000002)","(234, 1.0000000000000002)","(260, 1.0000000000000002)","(276, 1.0000000000000002)","(401, 1.0000000000000002)","(434, 1.0000000000000002)","(471, 1.0000000000000002)","(633, 1.0000000000000002)","(775, 1.0000000000000002)","(797, 1.0000000000000002)","(886, 1.0000000000000002)","(970, 1.0000000000000002)","(1009, 1.0000000000000002)"
"(7, 1.0000000000000002)","(9, 1.0000000000000002)","(14, 1.0000000000000002)","(21, 1.0000000000000002)","(30, 1.0000000000000002)","(44, 1.0000000000000002)","(47, 1.0000000000000002)","(83, 1.0000000000000002)","(97, 1.0000000000000002)","(102, 1.0000000000000002)","(121, 1.0000000000000002)","(177, 1.0000000000000002)","(178, 1.0000000000000002)","(182, 1.0000000000000002)","(183, 1.0000000000000002)"
"(8, 1.0000000000000002)","(337, 1.0000000000000002)","(398, 1.0000000000000002)","(578, 1.0000000000000002)","(805, 1.0000000000000002)","(831, 1.0000000000000002)","(1099, 1.0000000000000002)","(1105, 1.0000000000000002)","(1128, 1.0000000000000002)","(1166, 1.0000000000000002)","(1264, 1.0000000000000002)","(1426, 1.0000000000000002)","(1440, 1.0000000000000002)","(1448, 1.0000000000000002)","(1450, 1.0000000000000002)"
"(7, 1.0000000000000002)","(9, 1.0000000000000002)","(14, 1.0000000000000002)","(21, 1.0000000000000002)","(30, 1.0000000000000002)","(44, 1.0000000000000002)","(47, 1.0000000000000002)","(83, 1.0000000000000002)","(97, 1.0000000000000002)","(102, 1.0000000000000002)","(121, 1.0000000000000002)","(177, 1.0000000000000002)","(178, 1.0000000000000002)","(182, 1.0000000000000002)","(183, 1.0000000000000002)"
"(3, 1.0)","(10, 1.0)","(15, 1.0)","(20, 1.0)","(26, 1.0)","(31, 1.0)","(40, 1.0)","(51, 1.0)","(57, 1.0)","(58, 1.0)","(67, 1.0)","(68, 1.0)","(70, 1.0)","(72, 1.0)","(76, 1.0)"
