movieId,title,year,genres
181113,Angelica ,2015,Action|Thriller
181121,A Line Across the Sky ,2015,Action|Comedy|Thriller
181223,1945: The Savage Peace ,2015,Adventure|Children|Fantasy
181225,The Whispering Star ,2015,Documentary
181239,Alaska ,2015,Adventure|Animation|Comedy
181287,Warsaw by Night ,2015,Comedy|Romance
181301,Sand Dollars ,2015,Adventure|Drama
181503,Letters to Santa 2 ,2015,Drama
181523,Karski & The Lords of Humanity ,2015,Documentary
181527,Girl Gets Girl ,2015,Documentary
181529,Angels in the Snow ,2015,Comedy
181533,Alike ,2015,Thriller
181573,Strange Blood ,2015,Horror
181581,Godless ,2015,Drama|Mystery|Thriller
181597,The Buffalo ,2015,Children|Drama
181599,The Devil's Woods ,2015,Crime
181705,National Theatre Live: Hamlet ,2015,Comedy|Drama
182331,ParkolÃ³ ,2015,(no genres listed)
182389,Luciferous ,2015,Drama
182417,Patient Killer ,2015,Comedy|Drama
182463,Bianca Del Rio's Rolodex of Hate ,2015,(no genres listed)
182465,Genghis Khan Conquers the Moon ,2015,Comedy
182481,Code of a Killer ,2015,Adventure|Animation
182505,Oru Vadakkan Selfie ,2015,Action|Drama
182663,3801 Lancaster: American Tragedy ,2015,Children|Drama
182691,Philosophy Coffee ,2015,Children|Comedy
182717,P.S. Jerusalem ,2015,Adventure|Mystery|Sci-Fi|Thriller
182751,Wat Mannen Willen ,2015,Comedy
182811,A Christmas Carol ,2015,Documentary
182841,Lee & Cindy C. ,2015,Children|Comedy
182861,I Really Hate My Ex ,2015,Documentary
182873,Warrior ,2015,Action|Drama|War
182909,Ghost mountaineer ,2015,Drama|Western
182911,Barcelona Christmas Night ,2015,(no genres listed)
182915,In Defense of Food ,2015,Comedy|Drama|Romance
182987,Robinson Crusoe and Cuma ,2015,Drama
182989,Yok ArtÄ±k ,2015,Comedy
182991,The Lamb ,2015,(no genres listed)
183051,I am Diego Maradona ,2015,Documentary
183127,The Price of Fame ,2015,Action|Romance|Thriller
183129,Florida ,2015,Drama
183213,Durant's Never Closes ,2015,Comedy
183215,F.C. De Kampioenen 2: Jubilee General ,2015,Crime|Drama
183299,Queen: From Rags to Rhapsody ,2015,Horror|Thriller
183307,The Brain Hack ,2015,Drama
183411,The Secret Rules of Modern Living: Algorithms ,2015,Documentary
183623,The Exile ,2015,Documentary
183787,Watch Over Us ,2015,Horror|Thriller
183839,Norfolk ,2015,Drama
183939,La espaÃ±ola inglesa ,2015,Crime|Thriller
183975,Family Party ,2015,Comedy
184031,Love: Yeu ,2015,(no genres listed)
184033,Why Me? ,2015,Romance
184081,Victor XX ,2015,Comedy|Crime
184187,Model Citizens ,2015,Documentary
184199,Any Body Can Dance 2 ,2015,Comedy|Romance
184203,Mr. X ,2015,Drama
184237,Uttama Villain ,2015,Comedy|Drama|Romance
184257,Making a Murderer ,2015,Documentary
184337,Her Composition ,2015,Comedy
184363,The Sense of Wonder ,2015,Comedy|Drama
184455,This is Happening ,2015,Comedy
184537,Little Galicia ,2015,Drama
184587,The Fisherman ,2015,Drama|Sci-Fi
184757,2 Countries ,2015,Action|Drama
184761,100 Days Of Love ,2015,Drama
